"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2019","176.200","176.250","177.800","174.600","","0.11%"
"04/01/2019","176.000","175.450","176.550","174.000","","0.37%"
"03/01/2019","175.350","180.100","180.100","175.150","","-2.53%"
"02/01/2019","179.900","178.400","180.575","176.400","","0.98%"
"01/01/2019","178.150","182.900","183.150","178.300","","-2.44%"
"12/01/2018","182.600","179.050","183.250","178.375","","2.30%"
"11/01/2018","178.500","175.250","180.900","173.500","","1.83%"
"10/01/2018","175.300","169.250","175.800","168.950","","3.73%"
"09/01/2018","169.000","161.525","169.450","161.200","","4.71%"
"08/01/2018","161.400","159.625","161.600","159.500","","1.16%"
"07/01/2018","159.550","158.250","160.150","158.225","","0.85%"
"06/01/2018","158.200","158.350","160.350","157.950","","0.03%"
"05/01/2018","158.150","157.750","158.700","157.450","","0.35%"
"04/01/2018","157.600","155.600","157.850","155.050","","1.29%"
"03/01/2018","155.600","155.100","156.275","154.950","","0.42%"
"02/01/2018","154.950","153.950","155.950","153.900","","0.68%"
"01/01/2018","153.900","153.550","154.250","153.325","","0.33%"
"12/01/2017","153.400","153.600","153.725","152.425","","-0.10%"
"11/01/2017","153.550","153.650","153.925","153.150","","0.00%"
"10/01/2017","153.550","153.075","153.925","153.050","","0.37%"
"09/01/2017","152.980","152.675","153.275","152.275","","0.18%"
"08/01/2017","152.700","153.525","153.650","152.725","","-0.52%"
"07/01/2017","153.500","153.550","153.875","153.275","","0.33%"
"06/01/2017","153.000","152.605","153.735","151.870","","0.36%"
"05/01/2017","152.450","152.500","153.075","151.740","","0.33%"
"04/01/2017","151.950","152.100","152.925","151.410","","0.15%"
"03/01/2017","151.720","151.400","152.670","150.975","","-0.41%"
"02/01/2017","152.340","150.150","152.710","150.150","","1.59%"
"01/01/2017","149.950","149.750","150.750","149.250","","0.23%"
"12/01/2016","149.600","148.850","150.400","147.950","","0.71%"
"11/01/2016","148.550","147.800","149.250","147.300","","0.78%"
"10/01/2016","147.400","146.625","148.150","146.200","","0.75%"
"09/01/2016","146.300","145.600","146.975","144.790","","0.69%"
"08/01/2016","145.300","145.850","146.475","144.750","","0.37%"
"07/01/2016","144.760","145.550","147.275","144.815","","-0.41%"
"06/01/2016","145.350","148.050","148.575","144.200","","-1.36%"
"05/01/2016","147.350","146.180","148.800","145.325","","1.03%"
"04/01/2016","145.850","146.000","147.650","143.500","","0.34%"
"03/01/2016","145.350","144.600","149.415","143.850","","0.82%"
"02/01/2016","144.170","144.125","145.040","143.500","","0.25%"
"01/01/2016","143.810","144.250","144.675","143.375","","-0.24%"
"12/01/2015","144.150","143.300","144.375","142.790","","1.17%"
"11/01/2015","142.480","140.850","143.375","140.550","","1.09%"
"10/01/2015","140.950","141.300","141.625","140.075","","0.04%"
"09/01/2015","140.890","134.550","141.400","134.475","","4.75%"
"08/01/2015","134.500","133.650","134.750","133.450","","0.63%"
"07/01/2015","133.660","133.915","134.005","133.500","","-0.10%"
"06/01/2015","133.800","134.150","134.555","133.600","","-0.07%"
"05/01/2015","133.900","133.300","134.400","133.000","","0.60%"
"04/01/2015","133.100","133.350","133.500","132.875","","0.11%"
"03/01/2015","132.950","133.050","133.725","132.475","","-0.04%"
"02/01/2015","133.000","132.250","133.525","132.100","","0.64%"
"01/01/2015","132.150","131.250","132.825","130.250","","0.76%"
"12/01/2014","131.150","131.600","131.875","130.975","","0.11%"
"11/01/2014","131.000","130.900","131.750","130.400","","0.19%"
"10/01/2014","130.750","130.600","131.100","130.300","","0.38%"
"09/01/2014","130.260","130.225","130.750","130.175","","0.04%"
"08/01/2014","130.210","130.205","130.275","130.115","","0.01%"
"07/01/2014","130.200","130.330","130.360","130.140","","-0.08%"
"06/01/2014","130.300","130.350","130.425","130.200","","-0.04%"
"05/01/2014","130.350","130.600","130.655","130.300","","-0.21%"
"04/01/2014","130.630","130.750","130.750","130.500","","-0.02%"
"03/01/2014","130.650","130.600","130.785","130.450","","-0.04%"
"02/01/2014","130.700","130.775","131.490","130.615","","0.00%"
"01/01/2014","130.700","130.800","130.900","130.600","","-0.04%"
"12/01/2013","130.750","131.225","131.550","130.650","","-0.34%"
"11/01/2013","131.200","130.900","131.665","130.075","","0.27%"
"10/01/2013","130.850","132.025","132.075","130.050","","-0.80%"
"09/01/2013","131.900","132.900","133.175","131.850","","-0.68%"
"08/01/2013","132.800","131.575","134.200","131.350","","0.87%"
"07/01/2013","131.650","130.550","131.900","130.050","","0.96%"
"06/01/2013","130.400","126.500","130.950","126.350","","3.12%"
"05/01/2013","126.450","126.700","126.900","125.500","","-0.20%"
"04/01/2013","126.700","126.825","127.825","125.250","","0.00%"
"03/01/2013","126.700","127.500","128.050","125.900","","-0.59%"
"02/01/2013","127.450","126.300","127.775","125.900","","0.99%"
"01/01/2013","126.200","127.900","128.100","125.125","","-1.02%"
"12/01/2012","127.500","129.900","130.075","125.450","","-2.00%"
"11/01/2012","130.100","130.250","131.360","129.800","","0.00%"
"10/01/2012","130.100","129.250","130.300","127.950","","0.58%"
"09/01/2012","129.350","132.375","133.050","128.125","","-2.23%"
"08/01/2012","132.300","131.750","132.850","131.635","","0.46%"
"07/01/2012","131.700","133.260","134.150","130.150","","-0.87%"
"06/01/2012","132.860","132.050","134.400","129.660","","1.33%"
"05/01/2012","131.110","129.610","132.750","125.900","","1.47%"
"04/01/2012","129.210","129.130","133.300","124.850","","0.87%"
"03/01/2012","128.100","121.500","131.100","119.450","","5.17%"
"02/01/2012","121.800","113.850","122.850","113.760","","6.98%"
"01/01/2012","113.850","113.850","114.005","113.730","","0.00%"
"12/01/2011","113.850","113.870","113.950","113.730","","0.03%"
"11/01/2011","113.820","110.150","114.220","109.910","","3.42%"
"10/01/2011","110.060","110.180","110.250","109.960","","0.09%"
"09/01/2011","109.960","109.850","110.340","109.875","","0.28%"
"08/01/2011","109.650","109.400","110.040","109.260","","0.23%"
"07/01/2011","109.400","109.450","109.620","109.420","","-0.05%"
"06/01/2011","109.450","109.650","109.800","109.330","","-0.18%"
"05/01/2011","109.650","109.600","110.015","109.615","","-0.18%"
"04/01/2011","109.850","110.350","110.440","109.550","","-0.47%"
"03/01/2011","110.370","110.720","110.795","109.950","","-0.34%"
"02/01/2011","110.750","111.000","111.175","110.660","","-0.09%"
"01/01/2011","110.850","110.850","111.215","110.610","","-0.06%"
"12/01/2010","110.920","111.180","111.385","110.825","","-0.39%"
"11/01/2010","111.350","111.640","111.740","111.150","","-0.22%"
"10/01/2010","111.600","111.980","112.030","111.525","","-0.09%"
"09/01/2010","111.700","112.750","112.800","111.670","","-0.89%"
"08/01/2010","112.700","112.700","112.825","112.200","","-0.04%"
"07/01/2010","112.750","113.500","113.605","112.515","","-0.70%"
"06/01/2010","113.550","113.750","113.835","113.360","","-0.22%"
"05/01/2010","113.800","113.900","114.000","113.500","","-0.13%"
"04/01/2010","113.950","113.900","114.000","113.650","","-0.09%"
"03/01/2010","114.050","114.550","114.650","113.930","","-0.50%"
"02/01/2010","114.625","114.625","114.775","114.225","","-0.02%"
"01/01/2010","114.650","114.350","114.650","114.150","","0.22%"
"12/01/2009","114.400","114.450","114.530","114.100","","-0.01%"
"11/01/2009","114.410","114.820","114.860","114.140","","-0.34%"
"10/01/2009","114.800","114.850","114.950","114.650","","-0.02%"
"09/01/2009","114.820","114.840","114.900","114.150","","0.10%"
"08/01/2009","114.700","115.000","115.050","113.720","","-0.13%"
"07/01/2009","114.850","115.000","115.100","114.070","","-0.06%"
"06/01/2009","114.920","114.950","115.050","114.800","","0.02%"
"05/01/2009","114.900","120.100","120.200","114.800","","-4.33%"
"04/01/2009","120.100","115.900","120.800","115.100","","3.71%"
"03/01/2009","115.800","114.350","115.950","113.800","","1.37%"
"02/01/2009","114.230","114.080","116.000","113.950","","0.27%"
"01/01/2009","113.920","113.000","114.130","112.900","","0.81%"
"12/01/2008","113.000","110.080","113.900","109.970","","2.68%"
"11/01/2008","110.050","110.100","110.800","109.500","","-0.18%"
"10/01/2008","110.250","108.200","110.500","108.000","","1.94%"
"09/01/2008","108.150","107.900","108.250","107.650","","0.26%"
"08/01/2008","107.870","107.550","107.970","107.520","","0.25%"
"07/01/2008","107.600","107.670","107.850","107.400","","-0.09%"
"06/01/2008","107.700","107.880","107.950","107.550","","-0.17%"
"05/01/2008","107.885","107.800","107.945","107.550","","0.01%"
"04/01/2008","107.875","107.840","107.925","107.520","","0.07%"
"03/01/2008","107.800","107.800","107.950","107.300","","-0.05%"
"02/01/2008","107.850","107.700","108.130","107.620","","0.01%"
"01/01/2008","107.840","108.740","108.790","107.750","","-0.75%"
"12/01/2007","108.650","110.450","110.540","108.100","","-1.65%"
"11/01/2007","110.475","111.050","111.075","109.900","","-0.43%"
"10/01/2007","110.950","113.450","113.560","110.850","","-2.19%"
"09/01/2007","113.440","112.970","113.700","112.900","","0.37%"
"08/01/2007","113.025","111.740","113.175","111.700","","1.11%"
"07/01/2007","111.780","111.250","111.810","111.250","","0.35%"
"06/01/2007","111.385","110.830","111.535","110.630","","0.46%"
